DoE(V3)-Aangepaste versie
Proefstuk,Helling (N/mm),Markering tijd - Start ,Markering tijd - Einde 
66,625,000,2023-07-18 10:33:40,2023-07-18 10:33:46
67,761,905,2023-07-18 10:34:43,2023-07-18 10:34:53
68,640,000,2023-07-18 10:35:46,2023-07-18 10:35:57
69,559,028,2023-07-18 10:36:52,2023-07-18 10:37:04
70,634,921,2023-07-18 10:38:15,2023-07-18 10:38:25
71,625,000,2023-07-18 10:39:25,2023-07-18 10:39:37
72,650,407,2023-07-18 10:47:40,2023-07-18 10:47:50
73,661,157,2023-07-18 10:49:03,2023-07-18 10:49:16
74,601,504,2023-07-18 10:53:31,2023-07-18 10:53:42
75,516,129,2023-07-18 10:54:44,2023-07-18 10:54:55
76,597,015,2023-07-18 10:56:04,2023-07-18 10:56:26
77,640,000,2023-07-18 10:57:34,2023-07-18 10:57:51
78,427,807,2023-07-18 11:04:26,2023-07-18 11:04:38
79,620,155,2023-07-18 11:06:05,2023-07-18 11:06:17
80,653,226,2023-07-18 11:07:45,2023-07-18 11:07:55
81,490,798,2023-07-18 11:09:10,2023-07-18 11:09:26
82,625,000,2023-07-18 11:35:39,2023-07-18 11:35:52
83,588,235,2023-07-18 11:36:53,2023-07-18 11:37:06
84,597,015,2023-07-18 11:38:18,2023-07-18 11:38:30
85,628,906,2023-07-18 11:39:24,2023-07-18 11:39:39
86,422,872,2023-07-18 11:40:32,2023-07-18 11:40:47
87,670,833,2023-07-18 11:43:03,2023-07-18 11:43:14
88,470,588,2023-07-18 11:44:25,2023-07-18 11:44:38
89,544,218,2023-07-18 11:45:32,2023-07-18 11:46:01
90,522,727,2023-07-18 11:47:06,2023-07-18 11:47:19
91,446,927,2023-07-18 11:48:25,2023-07-18 11:48:41
92,500,000,2023-07-18 11:52:41,2023-07-18 11:52:53
94,366,972,2023-07-18 12:01:52,2023-07-18 12:02:17
95,377,358,2023-07-18 12:03:23,2023-07-18 12:03:37
96,392,500,2023-07-18 12:04:51,2023-07-18 12:05:04
98 - eigenlijk laatste*,386,473,2023-07-18 12:09:59,2023-07-18 12:10:14
99 - eigenlijk voorlaatse*,526,144,2023-07-18 13:58:47,2023-07-18 13:59:00
Gemiddelde,555,338
SD,102,092
Min,366,972
Max,761,905
