Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,399
0;-40;-0,4
0,015;-40,5;-0,401
0,03;-40,5;-0,402
0,044;-41;-0,402
0,064;-41,5;-0,403
0,079;-41,5;-0,404
0,094;-41,5;-0,405
0,112;-42;-0,406
0,125;-42;-0,406
0,137;-42,5;-0,407
0,15;-42,5;-0,408
0,163;-42,5;-0,408
0,175;-42,5;-0,409
0,188;-43,5;-0,41
0,205;-43,5;-0,41
0,221;-44;-0,411
0,237;-44,5;-0,412
0,252;-44,5;-0,413
0,266;-45;-0,414
0,28;-45;-0,414
0,295;-45,5;-0,415
0,309;-46;-0,416
0,33;-46;-0,417
0,345;-46,5;-0,417
0,359;-46,5;-0,418
0,373;-47;-0,419
0,387;-47;-0,419
0,401;-48;-0,42
0,413;-48;-0,42
0,426;-48,5;-0,421
0,443;-48,5;-0,422
0,457;-48,5;-0,423
0,47;-49;-0,424
0,485;-49;-0,424
0,503;-50;-0,425
0,518;-50,5;-0,426
0,532;-50,5;-0,426
0,546;-51;-0,427
0,561;-51;-0,428
0,574;-51,5;-0,429
0,589;-51,5;-0,429
0,602;-53;-0,43
0,617;-53,5;-0,431
0,633;-53,5;-0,432
0,647;-54;-0,432
0,661;-54;-0,433
0,675;-54,5;-0,434
0,688;-54,5;-0,434
0,701;-56;-0,435
0,715;-56;-0,436
0,73;-56;-0,437
0,746;-56;-0,438
0,762;-56,5;-0,438
0,776;-57,5;-0,439
0,788;-57,5;-0,44
0,803;-58,5;-0,44
0,817;-58,5;-0,441
0,832;-59;-0,442
0,846;-59;-0,442
0,863;-59,5;-0,443
0,879;-60;-0,444
0,893;-60;-0,445
0,906;-61,5;-0,445
0,92;-61,5;-0,446
0,934;-62;-0,447
0,948;-62;-0,447
0,961;-62,5;-0,448
0,975;-62,5;-0,449
0,995;-63;-0,45
1,007;-64;-0,45
1,021;-64;-0,451
1,034;-64,5;-0,452
1,048;-64,5;-0,452
1,061;-65;-0,453
1,074;-65;-0,454
1,087;-65,5;-0,454
1,1;-65,5;-0,455
1,114;-67;-0,456
1,13;-67;-0,456
1,145;-67,5;-0,457
1,159;-68;-0,458
1,172;-68;-0,458
1,186;-68,5;-0,459
1,2;-68,5;-0,46
1,22;-70;-0,461
1,235;-70,5;-0,462
1,253;-70,5;-0,463
1,269;-71;-0,464
1,284;-71;-0,464
1,298;-71,5;-0,465
1,311;-71,5;-0,466
1,324;-73;-0,466
1,338;-73,5;-0,467
1,351;-73,5;-0,468
1,367;-74;-0,468
1,382;-74;-0,469
1,396;-74,5;-0,47
1,41;-74,5;-0,47
1,423;-74,5;-0,471
1,437;-74,5;-0,472
1,45;-76,5;-0,472
1,463;-76,5;-0,473
1,476;-77;-0,474
1,488;-77;-0,474
1,503;-78;-0,475
1,517;-79;-0,476
1,535;-79;-0,477
1,555;-79,5;-0,478
1,568;-80,5;-0,478
1,583;-80,5;-0,479
1,596;-81;-0,48
1,61;-81;-0,48
1,626;-82;-0,481
1,64;-82;-0,482
1,654;-83;-0,482
1,669;-83;-0,484
1,688;-83;-0,484
1,703;-84;-0,485
1,717;-84;-0,486
1,73;-85,5;-0,486
1,744;-85,5;-0,487
1,761;-86;-0,488
1,773;-86,5;-0,488
1,787;-86,5;-0,489
1,802;-87;-0,49
1,816;-87;-0,491
1,835;-88,5;-0,492
1,848;-88,5;-0,492
1,862;-89;-0,493
1,876;-89,5;-0,494
1,89;-89,5;-0,494
1,904;-90,5;-0,495
1,919;-90,5;-0,496
1,934;-91,5;-0,497
1,948;-91,5;-0,498
1,963;-92;-0,498
1,977;-92;-0,499
1,99;-93;-0,5
2,006;-93,5;-0,5
2,024;-93,5;-0,501
2,039;-95;-0,502
2,051;-95;-0,502
2,066;-95,5;-0,503
2,081;-96;-0,504
2,094;-96;-0,504
2,108;-96,5;-0,506
2,13;-96,5;-0,506
2,144;-98;-0,507
2,161;-98,5;-0,508
2,175;-98,5;-0,508
2,188;-99,5;-0,509
2,201;-99,5;-0,51
2,215;-100;-0,511
2,233;-101;-0,512
2,257;-101;-0,512
2,271;-102;-0,513
2,285;-102;-0,514
2,299;-102,5;-0,515
2,312;-102,5;-0,515
2,324;-103;-0,516
2,337;-103;-0,517
2,352;-104,5;-0,518
2,368;-105;-0,518
2,382;-105;-0,519
2,396;-106;-0,52
2,412;-106;-0,521
2,43;-106,5;-0,521
2,444;-108;-0,522
2,456;-108;-0,523
2,47;-108,5;-0,523
2,483;-108,5;-0,524
2,498;-109,5;-0,525
2,512;-109,5;-0,526
2,528;-110;-0,526
2,549;-111,5;-0,527
2,563;-111,5;-0,528
2,575;-112;-0,528
2,588;-112;-0,529
2,601;-112,5;-0,53
2,615;-112,5;-0,531
2,63;-113,5;-0,532
2,648;-113,5;-0,532
2,661;-114,5;-0,533
2,673;-114,5;-0,533
2,687;-115,5;-0,534
2,7;-115,5;-0,535
2,713;-116;-0,535
2,726;-116;-0,536
2,738;-116;-0,536
2,751;-116;-0,537
2,764;-118;-0,538
2,78;-118,5;-0,539
2,797;-118,5;-0,54
2,812;-119;-0,54
2,828;-119;-0,541
2,842;-119,5;-0,542
2,855;-119,5;-0,542
