Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,976
0	-30	-0,976
0,012	-30	-0,977
0,027	-30	-0,978
0,048	-30,5	-0,979
0,065	-30,5	-0,98
0,078	-31	-0,98
0,09	-31	-0,981
0,101	-31	-0,982
0,119	-31	-0,982
0,135	-31,5	-0,983
0,151	-32	-0,984
0,17	-32	-0,985
0,183	-32	-0,985
0,195	-32	-0,986
0,208	-32	-0,987
0,224	-32	-0,988
0,251	-32,5	-0,989
0,266	-33	-0,99
0,281	-33	-0,99
0,296	-33	-0,991
0,309	-33,5	-0,992
0,329	-33,5	-0,993
0,345	-34	-0,993
0,358	-34	-0,994
0,372	-34	-0,995
0,389	-34,5	-0,996
0,403	-34,5	-0,996
0,42	-34,5	-0,997
0,432	-34,5	-0,998
0,445	-35	-0,998
0,459	-35	-0,999
0,474	-35	-1
0,488	-35,5	-1
0,5	-35,5	-1,001
0,519	-36	-1,002
0,536	-36	-1,003
0,554	-36,5	-1,004
0,567	-36,5	-1,004
0,579	-36,5	-1,005
0,593	-36,5	-1,006
0,612	-37	-1,007
0,631	-37	-1,008
0,644	-37,5	-1,008
0,659	-37,5	-1,01
0,676	-38	-1,01
0,693	-38	-1,011
0,705	-38	-1,012
0,718	-38,5	-1,012
0,731	-38,5	-1,013
0,745	-39	-1,014
0,758	-39	-1,014
0,778	-39	-1,016
0,799	-39,5	-1,016
0,816	-39,5	-1,017
0,828	-39,5	-1,018
0,85	-40	-1,019
0,868	-40	-1,02
0,882	-40,5	-1,02
0,899	-40,5	-1,021
0,917	-40,5	-1,022
0,934	-41	-1,023
0,949	-41,5	-1,024
0,966	-41,5	-1,025
0,984	-41,5	-1,026
1,001	-41,5	-1,026
1,017	-41,5	-1,027
1,037	-41,5	-1,028
1,052	-42,5	-1,029
1,068	-42,5	-1,03
1,083	-42,5	-1,03
1,101	-43	-1,032
1,118	-43	-1,032
1,134	-43	-1,033
1,153	-43,5	-1,034
1,17	-43,5	-1,035
1,189	-43,5	-1,036
1,209	-43,5	-1,037
1,225	-43,5	-1,038
1,241	-44	-1,038
1,255	-44,5	-1,039
1,267	-44,5	-1,04
1,279	-44,5	-1,04
1,297	-44,5	-1,041
1,309	-44,5	-1,042
1,328	-44,5	-1,043
1,345	-45	-1,044
1,363	-45	-1,044
1,379	-45	-1,045
1,397	-45,5	-1,046
1,41	-45,5	-1,047
1,424	-45,5	-1,048
1,445	-45,5	-1,048
1,461	-46,5	-1,049
1,474	-46,5	-1,05
1,486	-46,5	-1,051
1,51	-46,5	-1,052
1,527	-46,5	-1,053
1,549	-47	-1,054
1,562	-47,5	-1,054
1,575	-47,5	-1,055
1,587	-47,5	-1,056
1,6	-47,5	-1,056
1,613	-48	-1,057
1,629	-48	-1,058
1,646	-48	-1,058
1,66	-48	-1,059
1,675	-48	-1,06
1,695	-48,5	-1,061
1,709	-48,5	-1,062
1,723	-48,5	-1,062
1,736	-48,5	-1,063
1,749	-49	-1,064
1,767	-49	-1,065
1,783	-49	-1,066
1,801	-49,5	-1,067
1,819	-49,5	-1,068
1,836	-49,5	-1,068
1,856	-49,5	-1,07
1,877	-50,5	-1,07
1,89	-50,5	-1,071
1,902	-50,5	-1,071
1,914	-50,5	-1,072
1,932	-50,5	-1,073
1,946	-50,5	-1,074
1,961	-50,5	-1,074
1,975	-51	-1,075
1,995	-51	-1,076
2,01	-51	-1,077
2,025	-51,5	-1,077
2,038	-51,5	-1,078
2,059	-51,5	-1,079
2,074	-52	-1,08
2,088	-52	-1,081
2,114	-52	-1,082
2,13	-52,5	-1,083
2,148	-52,5	-1,084
2,165	-52,5	-1,084
2,182	-52,5	-1,085
2,196	-52,5	-1,086
2,212	-53	-1,087
2,226	-53	-1,088
2,244	-53	-1,088
2,257	-53	-1,089
2,27	-53	-1,09
2,284	-53,5	-1,09
2,296	-53,5	-1,091
2,309	-53,5	-1,092
2,321	-53,5	-1,092
2,335	-54	-1,093
2,352	-54	-1,094
2,364	-54	-1,094
2,376	-54	-1,095
2,393	-54,5	-1,096
2,405	-54,5	-1,096
2,417	-54,5	-1,097
2,431	-54,5	-1,098
2,452	-55	-1,099
