Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,56
0	-30	-0,56
0,013	-30	-0,561
0,025	-30	-0,562
0,038	-30,5	-0,563
0,058	-31	-0,564
0,072	-31	-0,564
0,085	-31,5	-0,565
0,103	-31,5	-0,566
0,12	-31,5	-0,567
0,138	-31,5	-0,567
0,155	-31,5	-0,568
0,168	-32	-0,569
0,185	-32,5	-0,57
0,197	-32,5	-0,57
0,21	-33	-0,571
0,224	-33	-0,572
0,238	-33,5	-0,572
0,253	-34	-0,574
0,275	-34	-0,574
0,294	-34,5	-0,575
0,314	-34,5	-0,576
0,33	-34,5	-0,577
0,346	-35	-0,578
0,363	-35,5	-0,579
0,383	-36,5	-0,58
0,406	-36,5	-0,581
0,423	-36,5	-0,582
0,441	-37	-0,583
0,457	-37	-0,584
0,475	-37,5	-0,584
0,49	-38,5	-0,585
0,502	-38,5	-0,586
0,517	-39	-0,586
0,529	-39	-0,587
0,545	-39	-0,588
0,567	-40	-0,589
0,583	-40	-0,59
0,597	-41	-0,59
0,613	-41	-0,591
0,633	-41,5	-0,592
0,652	-41,5	-0,593
0,669	-42	-0,594
0,686	-42	-0,595
0,702	-43	-0,596
0,72	-43,5	-0,596
0,738	-43,5	-0,597
0,753	-44	-0,598
0,769	-44,5	-0,599
0,79	-44,5	-0,6
0,804	-45,5	-0,6
0,82	-45,5	-0,601
0,84	-46,5	-0,602
0,853	-46,5	-0,603
0,866	-46,5	-0,604
0,884	-47	-0,605
0,902	-48,5	-0,606
0,918	-48,5	-0,606
0,934	-49	-0,607
0,95	-49	-0,608
0,966	-49,5	-0,609
0,979	-49,5	-0,61
1,001	-50	-0,61
1,017	-51	-0,612
1,035	-51,5	-0,613
1,057	-52	-0,613
1,072	-52	-0,614
1,094	-52,5	-0,615
1,108	-54	-0,616
1,123	-54	-0,616
1,138	-54,5	-0,618
1,156	-54,5	-0,618
1,175	-55	-0,619
1,191	-55,5	-0,62
1,207	-55,5	-0,621
1,223	-57	-0,622
1,242	-57,5	-0,622
1,257	-57,5	-0,623
1,271	-58	-0,624
1,284	-58,5	-0,624
1,302	-58,5	-0,625
1,315	-60	-0,626
1,327	-60	-0,627
1,343	-60,5	-0,628
1,367	-61	-0,629
1,383	-61	-0,629
1,397	-61,5	-0,63
1,412	-61,5	-0,631
1,428	-63	-0,632
1,445	-63,5	-0,633
1,462	-63,5	-0,633
1,477	-64	-0,634
1,496	-64,5	-0,635
1,511	-64,5	-0,636
1,524	-66	-0,636
1,536	-66	-0,637
1,548	-66,5	-0,638
1,572	-67	-0,639
1,589	-67	-0,64
1,604	-68	-0,64
1,62	-69	-0,641
1,635	-69	-0,642
1,651	-69,5	-0,643
1,668	-69,5	-0,644
1,691	-70,5	-0,645
1,71	-71	-0,646
1,727	-72,5	-0,646
1,742	-72,5	-0,648
1,763	-73	-0,648
1,778	-73,5	-0,649
1,792	-73,5	-0,65
1,805	-74	-0,651
1,825	-75	-0,652
1,842	-75	-0,653
1,868	-75,5	-0,654
1,888	-76,5	-0,655
1,905	-77	-0,655
1,919	-77	-0,656
1,931	-78	-0,657
1,949	-78	-0,658
1,962	-79	-0,658
1,974	-79	-0,659
1,992	-79,5	-0,66
2,007	-79,5	-0,661
