Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,708
0	-30	-0,709
0,014	-30	-0,71
0,029	-30	-0,711
0,042	-30,5	-0,711
0,054	-30,5	-0,712
0,068	-30,5	-0,713
0,092	-31	-0,714
0,11	-31	-0,714
0,123	-31	-0,715
0,136	-31	-0,716
0,147	-31,5	-0,716
0,16	-31,5	-0,717
0,172	-32	-0,718
0,184	-32	-0,718
0,196	-32	-0,719
0,209	-32	-0,72
0,222	-32,5	-0,72
0,234	-32,5	-0,72
0,246	-33	-0,721
0,258	-33	-0,722
0,271	-33	-0,722
0,283	-33	-0,723
0,298	-33,5	-0,724
0,312	-33,5	-0,724
0,324	-34	-0,726
0,344	-34	-0,726
0,357	-34,5	-0,727
0,37	-34,5	-0,728
0,389	-34,5	-0,729
0,41	-35	-0,73
0,427	-35	-0,73
0,439	-35	-0,731
0,458	-36	-0,732
0,473	-36	-0,732
0,485	-36,5	-0,733
0,497	-36,5	-0,734
0,51	-37	-0,734
0,522	-37	-0,735
0,534	-37,5	-0,736
0,547	-37,5	-0,737
0,565	-38,5	-0,738
0,58	-39	-0,738
0,593	-39	-0,739
0,606	-39	-0,74
0,619	-39	-0,74
0,632	-39,5	-0,741
0,645	-39,5	-0,742
0,66	-40,5	-0,742
0,674	-40,5	-0,743
0,691	-41	-0,744
0,705	-41,5	-0,744
0,718	-41,5	-0,745
0,73	-41,5	-0,746
0,742	-42	-0,746
0,754	-42	-0,747
0,766	-42,5	-0,747
0,781	-43	-0,748
0,795	-43	-0,749
0,81	-43,5	-0,75
0,822	-43,5	-0,75
0,835	-43,5	-0,751
0,848	-43,5	-0,751
0,861	-44,5	-0,752
0,874	-44,5	-0,753
0,894	-45	-0,754
0,915	-45,5	-0,755
0,931	-45,5	-0,756
0,945	-46	-0,756
0,965	-46,5	-0,758
0,991	-47	-0,759
1,006	-47	-0,759
1,02	-47,5	-0,76
1,034	-47,5	-0,761
1,049	-48	-0,762
1,064	-49	-0,762
1,077	-49	-0,763
1,089	-49,5	-0,764
1,103	-49,5	-0,764
1,115	-50	-0,765
1,128	-50	-0,766
1,147	-50,5	-0,767
1,163	-50,5	-0,767
1,176	-52	-0,768
1,193	-52,5	-0,769
1,205	-52,5	-0,77
1,223	-53	-0,77
1,243	-53	-0,771
1,258	-53	-0,772
1,272	-54,5	-0,772
1,285	-54,5	-0,773
1,298	-55	-0,774
1,312	-55	-0,775
1,327	-55	-0,775
1,339	-55,5	-0,777
1,369	-56,5	-0,778
1,39	-56,5	-0,779
1,41	-57	-0,78
1,43	-57,5	-0,78
1,445	-58	-0,782
1,465	-58	-0,782
1,478	-59	-0,783
1,49	-59	-0,784
1,509	-59,5	-0,785
1,529	-60	-0,786
1,546	-60	-0,786
1,558	-60,5	-0,787
1,57	-60,5	-0,788
1,584	-62	-0,788
1,599	-62,5	-0,789
1,619	-62,5	-0,79
1,634	-63	-0,791
1,646	-63	-0,791
1,66	-63,5	-0,792
1,673	-63,5	-0,793
1,687	-65	-0,794
1,7	-65	-0,794
1,713	-65,5	-0,795
1,743	-65,5	-0,796
1,757	-66,5	-0,797
1,771	-66,5	-0,798
1,784	-67,5	-0,798
1,797	-67,5	-0,799
1,81	-68	-0,8
1,822	-68	-0,8
1,836	-68,5	-0,801
1,85	-68,5	-0,802
1,865	-69	-0,802
1,88	-69	-0,803
1,896	-70,5	-0,804
1,911	-71	-0,804
1,923	-71	-0,805
1,937	-71,5	-0,806
1,95	-71,5	-0,806
1,965	-72	-0,808
1,984	-73	-0,808
2,005	-73	-0,809
2,019	-74	-0,81
2,032	-74	-0,81
2,045	-74,5	-0,811
2,057	-74,5	-0,812
2,071	-75	-0,813
2,086	-75	-0,813
2,098	-76	-0,814
2,111	-76	-0,815
2,126	-77	-0,815
2,14	-77,5	-0,816
2,153	-77,5	-0,817
2,166	-78	-0,818
2,181	-78	-0,818
2,199	-79,5	-0,819
