Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,519
0	-30	-0,52
0,013	-30	-0,52
0,027	-30	-0,521
0,039	-31	-0,522
0,054	-31,5	-0,523
0,073	-31,5	-0,523
0,086	-31,5	-0,524
0,099	-31,5	-0,525
0,118	-32	-0,526
0,136	-32,5	-0,526
0,151	-32,5	-0,527
0,163	-33	-0,528
0,176	-33	-0,528
0,189	-33,5	-0,529
0,201	-33,5	-0,53
0,213	-33,5	-0,53
0,225	-33,5	-0,531
0,237	-34	-0,531
0,249	-34	-0,532
0,261	-34,5	-0,532
0,273	-34,5	-0,533
0,284	-34,5	-0,534
0,297	-35	-0,534
0,31	-35	-0,535
0,322	-35,5	-0,536
0,334	-35,5	-0,536
0,346	-36	-0,537
0,359	-36	-0,538
0,373	-36,5	-0,538
0,39	-37	-0,539
0,409	-37	-0,54
0,427	-37	-0,541
0,444	-38	-0,542
0,463	-38,5	-0,543
0,479	-38,5	-0,544
0,495	-39	-0,544
0,508	-39	-0,545
0,522	-39,5	-0,546
0,542	-40	-0,547
0,561	-40	-0,548
0,576	-40,5	-0,549
0,594	-41	-0,55
0,609	-41	-0,55
0,625	-41	-0,551
0,643	-41	-0,552
0,657	-42	-0,553
0,676	-42,5	-0,554
0,696	-42,5	-0,554
0,713	-42,5	-0,555
0,727	-43	-0,556
0,74	-43	-0,556
0,756	-44	-0,557
0,774	-44	-0,558
0,792	-44	-0,559
0,81	-44,5	-0,56
0,831	-45	-0,561
0,853	-45,5	-0,562
0,869	-45,5	-0,563
0,885	-46	-0,564
0,897	-46	-0,564
0,91	-46,5	-0,565
0,925	-46,5	-0,566
0,939	-47	-0,566
0,951	-47	-0,567
0,964	-48	-0,568
0,977	-48	-0,568
0,992	-48	-0,569
1,009	-48,5	-0,57
1,025	-48,5	-0,571
1,04	-49	-0,572
1,053	-49	-0,572
1,068	-49	-0,573
1,081	-50,5	-0,574
1,095	-50,5	-0,574
1,108	-50,5	-0,575
1,121	-50,5	-0,576
1,136	-51	-0,576
1,149	-51	-0,577
1,161	-52	-0,577
1,174	-52	-0,578
1,187	-52,5	-0,579
1,199	-52,5	-0,579
1,211	-52,5	-0,58
1,223	-52,5	-0,58
1,235	-52,5	-0,581
1,247	-53	-0,582
1,259	-53	-0,582
1,27	-54	-0,583
1,282	-54	-0,583
1,295	-54,5	-0,584
1,309	-55	-0,585
1,328	-55	-0,586
1,351	-55,5	-0,587
1,365	-56,5	-0,588
1,378	-56,5	-0,588
1,397	-56,5	-0,59
1,415	-57,5	-0,59
1,431	-57,5	-0,591
1,445	-57,5	-0,592
1,459	-57,5	-0,592
1,473	-59	-0,593
1,491	-59	-0,594
1,509	-59	-0,595
1,528	-60	-0,596
1,547	-60	-0,597
1,563	-60	-0,598
1,578	-61	-0,599
1,594	-61,5	-0,6
1,612	-61,5	-0,6
1,63	-62	-0,601
1,648	-62,5	-0,602
1,664	-62,5	-0,603
1,68	-63,5	-0,604
1,699	-64	-0,605
1,714	-64	-0,605
1,727	-64,5	-0,606
1,746	-64,5	-0,607
1,765	-64,5	-0,608
1,783	-65,5	-0,608
1,796	-65,5	-0,609
1,809	-66	-0,61
1,823	-66,5	-0,61
1,837	-66,5	-0,611
1,852	-67	-0,612
1,87	-67	-0,613
1,884	-67,5	-0,614
1,897	-67,5	-0,614
1,91	-68	-0,615
1,927	-68	-0,616
1,941	-68,5	-0,616
1,955	-69	-0,617
1,971	-69	-0,618
1,983	-69,5	-0,618
1,996	-69,5	-0,619
2,011	-70	-0,62
2,024	-70	-0,62
2,037	-70,5	-0,621
2,049	-70,5	-0,622
2,065	-71	-0,623
2,087	-72	-0,624
2,105	-72	-0,625
2,123	-72	-0,626
2,136	-72,5	-0,626
2,148	-72,5	-0,627
2,161	-73	-0,628
2,174	-73	-0,628
2,188	-73,5	-0,629
2,201	-73,5	-0,63
2,213	-74	-0,63
2,227	-74	-0,631
2,24	-74,5	-0,631
2,252	-74,5	-0,632
2,266	-75	-0,633
2,283	-75	-0,634
2,302	-75,5	-0,634
2,317	-76	-0,635
2,329	-76	-0,636
2,344	-76,5	-0,637
2,359	-76,5	-0,637
2,375	-77	-0,638
2,39	-78	-0,639
2,403	-78	-0,639
2,416	-78	-0,64
2,43	-78	-0,641
2,445	-78,5	-0,642
2,46	-78,5	-0,642
2,477	-79	-0,643
2,49	-79	-0,644
