DoE(V3)
Proefstuk,Helling (N/mm),Markering tijd - Start ,Markering tijd - Einde 
100,532,353,2023-07-18 14:03:23,2023-07-18 14:03:40
101,454,545,2023-07-18 14:04:29,2023-07-18 14:04:40
102,568,750,2023-07-18 14:05:45,2023-07-18 14:06:01
103,568,750,2023-07-18 14:08:36,2023-07-18 14:08:46
104,588,235,2023-07-18 14:09:43,2023-07-18 14:09:55
105,566,038,2023-07-18 14:10:45,2023-07-18 14:10:57
106,450,000,2023-07-18 14:11:44,2023-07-18 14:11:57
107,584,416,2023-07-18 14:12:56,2023-07-18 14:13:22
108,580,645,2023-07-18 14:14:30,2023-07-18 14:14:43
109,562,112,2023-07-18 14:16:20,2023-07-18 14:16:29
110,587,097,2023-07-18 14:17:13,2023-07-18 14:17:27
111,573,248,2023-07-18 14:18:33,2023-07-18 14:18:43
112,569,182,2023-07-18 14:19:50,2023-07-18 14:20:03
113,529,762,2023-07-18 14:23:07,2023-07-18 14:23:18
114,552,147,2023-07-18 14:26:18,2023-07-18 14:26:30
115,611,486,2023-07-18 14:27:31,2023-07-18 14:27:41
116,546,296,2023-07-18 14:28:51,2023-07-18 14:29:05
117,604,027,2023-07-18 14:30:04,2023-07-18 14:30:21
118,612,245,2023-07-18 14:31:33,2023-07-18 14:31:46
119,596,026,2023-07-18 14:33:15,2023-07-18 14:33:27
120,454,545,2023-07-18 14:35:08,2023-07-18 14:35:25
121,619,863,2023-07-18 14:37:25,2023-07-18 14:37:37
122,588,235,2023-07-18 14:38:33,2023-07-18 14:38:43
123,508,772,2023-07-18 14:39:30,2023-07-18 14:39:41
124,600,000,2023-07-18 14:40:39,2023-07-18 14:40:51
125,625,000,2023-07-18 14:42:07,2023-07-18 14:42:19
126,489,130,2023-07-18 14:43:11,2023-07-18 14:43:22
127,576,923,2023-07-18 14:44:23,2023-07-18 14:44:34
128,642,857,2023-07-18 14:45:19,2023-07-18 14:45:32
129,579,618,2023-07-18 14:46:11,2023-07-18 14:46:22
130,608,844,2023-07-18 14:47:24,2023-07-18 14:47:35
131,459,184,2023-07-18 14:48:36,2023-07-18 14:48:49
Gemiddelde,562,198
SD,52,572
Min,450,000
Max,642,857
