Tijd (s);Kracht (N);Verplaatsing (mm)
0;-30;-0,628
0;-30,5;-0,629
0,015;-30,5;-0,63
0,036;-30,5;-0,631
0,054;-31;-0,632
0,067;-31;-0,632
0,079;-32;-0,633
0,092;-32;-0,634
0,105;-32,5;-0,634
0,117;-32,5;-0,635
0,13;-32,5;-0,636
0,145;-32,5;-0,636
0,159;-33;-0,637
0,175;-33;-0,638
0,189;-34;-0,638
0,202;-34,5;-0,639
0,215;-34,5;-0,64
0,229;-35;-0,64
0,243;-35;-0,641
0,264;-35;-0,642
0,278;-35;-0,643
0,292;-36,5;-0,644
0,305;-36,5;-0,644
0,318;-36,5;-0,645
0,331;-37,5;-0,646
0,344;-37,5;-0,646
0,357;-37,5;-0,647
0,374;-38;-0,648
0,389;-39;-0,648
0,403;-39,5;-0,65
0,425;-39,5;-0,65
0,438;-40;-0,651
0,45;-40;-0,652
0,464;-40,5;-0,652
0,477;-40,5;-0,653
0,492;-41,5;-0,654
0,507;-41,5;-0,654
0,52;-42;-0,655
0,532;-42;-0,656
0,549;-42,5;-0,657
0,569;-43;-0,658
0,587;-44;-0,658
0,603;-44;-0,66
0,62;-44,5;-0,66
0,637;-45;-0,661
0,657;-45;-0,662
0,673;-45;-0,663
0,692;-46;-0,664
0,712;-46;-0,665
0,728;-46,5;-0,666
0,746;-47;-0,666
0,762;-47;-0,667
0,779;-47,5;-0,668
0,796;-48,5;-0,669
0,811;-48,5;-0,669
0,825;-49;-0,67
0,838;-49;-0,671
0,851;-49,5;-0,671
0,865;-49,5;-0,672
0,887;-49,5;-0,673
0,903;-51;-0,674
0,916;-51;-0,675
0,93;-51;-0,675
0,945;-51;-0,676
0,959;-51,5;-0,677
0,973;-51,5;-0,677
0,985;-52;-0,678
0,999;-52;-0,679
1,011;-53;-0,679
1,024;-53;-0,68
1,037;-53,5;-0,681
1,05;-54;-0,682
1,065;-54;-0,682
1,081;-54,5;-0,683
1,101;-54,5;-0,684
1,116;-55,5;-0,685
1,128;-56,5;-0,685
1,141;-56,5;-0,686
1,154;-56,5;-0,687
1,173;-56,5;-0,688
1,191;-57,5;-0,688
1,205;-58,5;-0,69
1,223;-58,5;-0,69
1,242;-59;-0,691
1,261;-59,5;-0,692
1,278;-59,5;-0,693
1,295;-60,5;-0,694
1,311;-61,5;-0,694
1,327;-61,5;-0,695
1,345;-62;-0,696
1,364;-62,5;-0,697
1,384;-63;-0,698
1,406;-63;-0,7
1,426;-64,5;-0,7
1,442;-65;-0,701
1,455;-65;-0,702
1,47;-65,5;-0,703
1,496;-66;-0,704
1,511;-66;-0,704
1,525;-67;-0,705
1,538;-68;-0,706
1,552;-68;-0,706
1,567;-68,5;-0,707
1,581;-68,5;-0,708
1,593;-69;-0,709
1,609;-69;-0,709
1,622;-70;-0,71
1,634;-70;-0,711
1,65;-70,5;-0,712
1,669;-71;-0,712
1,683;-71;-0,713
1,698;-71,5;-0,714
1,713;-71,5;-0,715
1,726;-72,5;-0,715
1,739;-72,5;-0,716
1,752;-73;-0,716
1,763;-73;-0,717
1,778;-73,5;-0,718
1,792;-73,5;-0,718
1,805;-74;-0,719
1,817;-74;-0,72
1,831;-75,5;-0,72
1,844;-76;-0,721
1,86;-76;-0,722
1,877;-76,5;-0,723
1,892;-76,5;-0,724
1,906;-77;-0,724
1,918;-77;-0,725
1,933;-78;-0,726
1,945;-78;-0,726
1,957;-78,5;-0,727
1,972;-78,5;-0,727
1,984;-79,5;-0,728
2;-80;-0,729
2,024;-81;-0,73
2,046;-81;-0,731
2,061;-81,5;-0,732
2,074;-81,5;-0,732
2,087;-82;-0,733
2,101;-82;-0,734
2,12;-83;-0,735
2,142;-84;-0,736
2,158;-84,5;-0,737
2,171;-84,5;-0,737
2,183;-85;-0,738
2,2;-85,5;-0,739
2,221;-85,5;-0,74
2,237;-87;-0,741
2,249;-87;-0,741
2,263;-88;-0,742
2,277;-88;-0,743
2,29;-88;-0,744
2,304;-88;-0,744
2,316;-89;-0,745
2,33;-89;-0,745
2,344;-90;-0,746
2,355;-90;-0,747
2,368;-90,5;-0,747
2,381;-91;-0,748
2,396;-91;-0,749
2,413;-92;-0,749
2,428;-92;-0,75
2,441;-93;-0,751
2,456;-93;-0,751
2,468;-93,5;-0,752
2,48;-93,5;-0,753
2,5;-94;-0,754
2,517;-94,5;-0,754
2,531;-94,5;-0,755
2,548;-96;-0,756
2,565;-96,5;-0,757
2,585;-96,5;-0,758
2,598;-97;-0,758
2,61;-97;-0,759
2,624;-97,5;-0,76
2,636;-97,5;-0,76
2,649;-99;-0,761
2,665;-99,5;-0,762
2,681;-99,5;-0,763
2,695;-100;-0,764
2,717;-100;-0,765
2,735;-101;-0,766
2,753;-102;-0,766
2,765;-102;-0,767
2,78;-102;-0,768
2,8;-103,5;-0,769
2,822;-104;-0,77
2,838;-104;-0,771
2,851;-105;-0,771
2,865;-105;-0,772
2,878;-105,5;-0,773
2,893;-105,5;-0,774
2,91;-106;-0,774
2,925;-107;-0,776
2,949;-107;-0,776
2,964;-108;-0,777
2,977;-108;-0,778
2,993;-108,5;-0,778
3,012;-109;-0,779
3,029;-109;-0,78
3,043;-110;-0,781
3,057;-111;-0,782
3,071;-111;-0,782
3,085;-111,5;-0,783
3,1;-111,5;-0,784
3,113;-112;-0,784
3,124;-112;-0,785
3,139;-113;-0,786
3,152;-113;-0,786
3,165;-114;-0,787
3,179;-114;-0,788
3,193;-114,5;-0,788
3,206;-114,5;-0,789
3,218;-115,5;-0,79
3,233;-115,5;-0,79
3,246;-116;-0,791
3,261;-116;-0,792
3,276;-117;-0,793
3,29;-118;-0,793
3,302;-118;-0,794
3,316;-118,5;-0,795
3,331;-118,5;-0,796
3,346;-119;-0,796
3,359;-119;-0,797
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,628
0;-30,5;-0,629
0,015;-30,5;-0,63
0,036;-30,5;-0,631
0,054;-31;-0,632
0,067;-31;-0,632
0,079;-32;-0,633
0,092;-32;-0,634
0,105;-32,5;-0,634
0,117;-32,5;-0,635
0,13;-32,5;-0,636
0,145;-32,5;-0,636
0,159;-33;-0,637
0,175;-33;-0,638
0,189;-34;-0,638
0,202;-34,5;-0,639
0,215;-34,5;-0,64
0,229;-35;-0,64
0,243;-35;-0,641
0,264;-35;-0,642
0,278;-35;-0,643
0,292;-36,5;-0,644
0,305;-36,5;-0,644
0,318;-36,5;-0,645
0,331;-37,5;-0,646
0,344;-37,5;-0,646
0,357;-37,5;-0,647
0,374;-38;-0,648
0,389;-39;-0,648
0,403;-39,5;-0,65
0,425;-39,5;-0,65
0,438;-40;-0,651
0,45;-40;-0,652
0,464;-40,5;-0,652
0,477;-40,5;-0,653
0,492;-41,5;-0,654
0,507;-41,5;-0,654
0,52;-42;-0,655
0,532;-42;-0,656
0,549;-42,5;-0,657
0,569;-43;-0,658
0,587;-44;-0,658
0,603;-44;-0,66
0,62;-44,5;-0,66
0,637;-45;-0,661
0,657;-45;-0,662
0,673;-45;-0,663
0,692;-46;-0,664
0,712;-46;-0,665
0,728;-46,5;-0,666
0,746;-47;-0,666
0,762;-47;-0,667
0,779;-47,5;-0,668
0,796;-48,5;-0,669
0,811;-48,5;-0,669
0,825;-49;-0,67
0,838;-49;-0,671
0,851;-49,5;-0,671
0,865;-49,5;-0,672
0,887;-49,5;-0,673
0,903;-51;-0,674
0,916;-51;-0,675
0,93;-51;-0,675
0,945;-51;-0,676
0,959;-51,5;-0,677
0,973;-51,5;-0,677
0,985;-52;-0,678
0,999;-52;-0,679
1,011;-53;-0,679
1,024;-53;-0,68
1,037;-53,5;-0,681
1,05;-54;-0,682
1,065;-54;-0,682
1,081;-54,5;-0,683
1,101;-54,5;-0,684
1,116;-55,5;-0,685
1,128;-56,5;-0,685
1,141;-56,5;-0,686
1,154;-56,5;-0,687
1,173;-56,5;-0,688
1,191;-57,5;-0,688
1,205;-58,5;-0,69
1,223;-58,5;-0,69
1,242;-59;-0,691
1,261;-59,5;-0,692
1,278;-59,5;-0,693
1,295;-60,5;-0,694
1,311;-61,5;-0,694
1,327;-61,5;-0,695
1,345;-62;-0,696
1,364;-62,5;-0,697
1,384;-63;-0,698
1,406;-63;-0,7
1,426;-64,5;-0,7
1,442;-65;-0,701
1,455;-65;-0,702
1,47;-65,5;-0,703
1,496;-66;-0,704
1,511;-66;-0,704
1,525;-67;-0,705
1,538;-68;-0,706
1,552;-68;-0,706
1,567;-68,5;-0,707
1,581;-68,5;-0,708
1,593;-69;-0,709
1,609;-69;-0,709
1,622;-70;-0,71
1,634;-70;-0,711
1,65;-70,5;-0,712
1,669;-71;-0,712
1,683;-71;-0,713
1,698;-71,5;-0,714
1,713;-71,5;-0,715
1,726;-72,5;-0,715
1,739;-72,5;-0,716
1,752;-73;-0,716
1,763;-73;-0,717
1,778;-73,5;-0,718
1,792;-73,5;-0,718
1,805;-74;-0,719
1,817;-74;-0,72
1,831;-75,5;-0,72
1,844;-76;-0,721
1,86;-76;-0,722
1,877;-76,5;-0,723
1,892;-76,5;-0,724
1,906;-77;-0,724
1,918;-77;-0,725
1,933;-78;-0,726
1,945;-78;-0,726
1,957;-78,5;-0,727
1,972;-78,5;-0,727
1,984;-79,5;-0,728
2;-80;-0,729
2,024;-81;-0,73
2,046;-81;-0,731
2,061;-81,5;-0,732
2,074;-81,5;-0,732
2,087;-82;-0,733
2,101;-82;-0,734
2,12;-83;-0,735
2,142;-84;-0,736
2,158;-84,5;-0,737
2,171;-84,5;-0,737
2,183;-85;-0,738
2,2;-85,5;-0,739
2,221;-85,5;-0,74
2,237;-87;-0,741
2,249;-87;-0,741
2,263;-88;-0,742
2,277;-88;-0,743
2,29;-88;-0,744
2,304;-88;-0,744
2,316;-89;-0,745
2,33;-89;-0,745
2,344;-90;-0,746
2,355;-90;-0,747
2,368;-90,5;-0,747
2,381;-91;-0,748
2,396;-91;-0,749
2,413;-92;-0,749
2,428;-92;-0,75
2,441;-93;-0,751
2,456;-93;-0,751
2,468;-93,5;-0,752
2,48;-93,5;-0,753
2,5;-94;-0,754
2,517;-94,5;-0,754
2,531;-94,5;-0,755
2,548;-96;-0,756
2,565;-96,5;-0,757
2,585;-96,5;-0,758
2,598;-97;-0,758
2,61;-97;-0,759
2,624;-97,5;-0,76
2,636;-97,5;-0,76
2,649;-99;-0,761
2,665;-99,5;-0,762
2,681;-99,5;-0,763
2,695;-100;-0,764
2,717;-100;-0,765
2,735;-101;-0,766
2,753;-102;-0,766
2,765;-102;-0,767
2,78;-102;-0,768
2,8;-103,5;-0,769
2,822;-104;-0,77
2,838;-104;-0,771
2,851;-105;-0,771
2,865;-105;-0,772
2,878;-105,5;-0,773
2,893;-105,5;-0,774
2,91;-106;-0,774
2,925;-107;-0,776
2,949;-107;-0,776
2,964;-108;-0,777
2,977;-108;-0,778
2,993;-108,5;-0,778
3,012;-109;-0,779
3,029;-109;-0,78
3,043;-110;-0,781
3,057;-111;-0,782
3,071;-111;-0,782
3,085;-111,5;-0,783
3,1;-111,5;-0,784
3,113;-112;-0,784
3,124;-112;-0,785
3,139;-113;-0,786
3,152;-113;-0,786
3,165;-114;-0,787
3,179;-114;-0,788
3,193;-114,5;-0,788
3,206;-114,5;-0,789
3,218;-115,5;-0,79
3,233;-115,5;-0,79
3,246;-116;-0,791
3,261;-116;-0,792
3,276;-117;-0,793
3,29;-118;-0,793
3,302;-118;-0,794
3,316;-118,5;-0,795
3,331;-118,5;-0,796
3,346;-119;-0,796
3,359;-119;-0,797
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,628
0;-30,5;-0,629
0,015;-30,5;-0,63
0,036;-30,5;-0,631
0,054;-31;-0,632
0,067;-31;-0,632
0,079;-32;-0,633
0,092;-32;-0,634
0,105;-32,5;-0,634
0,117;-32,5;-0,635
0,13;-32,5;-0,636
0,145;-32,5;-0,636
0,159;-33;-0,637
0,175;-33;-0,638
0,189;-34;-0,638
0,202;-34,5;-0,639
0,215;-34,5;-0,64
0,229;-35;-0,64
0,243;-35;-0,641
0,264;-35;-0,642
0,278;-35;-0,643
0,292;-36,5;-0,644
0,305;-36,5;-0,644
0,318;-36,5;-0,645
0,331;-37,5;-0,646
0,344;-37,5;-0,646
0,357;-37,5;-0,647
0,374;-38;-0,648
0,389;-39;-0,648
0,403;-39,5;-0,65
0,425;-39,5;-0,65
0,438;-40;-0,651
0,45;-40;-0,652
0,464;-40,5;-0,652
0,477;-40,5;-0,653
0,492;-41,5;-0,654
0,507;-41,5;-0,654
0,52;-42;-0,655
0,532;-42;-0,656
0,549;-42,5;-0,657
0,569;-43;-0,658
0,587;-44;-0,658
0,603;-44;-0,66
0,62;-44,5;-0,66
0,637;-45;-0,661
0,657;-45;-0,662
0,673;-45;-0,663
0,692;-46;-0,664
0,712;-46;-0,665
0,728;-46,5;-0,666
0,746;-47;-0,666
0,762;-47;-0,667
0,779;-47,5;-0,668
0,796;-48,5;-0,669
0,811;-48,5;-0,669
0,825;-49;-0,67
0,838;-49;-0,671
0,851;-49,5;-0,671
0,865;-49,5;-0,672
0,887;-49,5;-0,673
0,903;-51;-0,674
0,916;-51;-0,675
0,93;-51;-0,675
0,945;-51;-0,676
0,959;-51,5;-0,677
0,973;-51,5;-0,677
0,985;-52;-0,678
0,999;-52;-0,679
1,011;-53;-0,679
1,024;-53;-0,68
1,037;-53,5;-0,681
1,05;-54;-0,682
1,065;-54;-0,682
1,081;-54,5;-0,683
1,101;-54,5;-0,684
1,116;-55,5;-0,685
1,128;-56,5;-0,685
1,141;-56,5;-0,686
1,154;-56,5;-0,687
1,173;-56,5;-0,688
1,191;-57,5;-0,688
1,205;-58,5;-0,69
1,223;-58,5;-0,69
1,242;-59;-0,691
1,261;-59,5;-0,692
1,278;-59,5;-0,693
1,295;-60,5;-0,694
1,311;-61,5;-0,694
1,327;-61,5;-0,695
1,345;-62;-0,696
1,364;-62,5;-0,697
1,384;-63;-0,698
1,406;-63;-0,7
1,426;-64,5;-0,7
1,442;-65;-0,701
1,455;-65;-0,702
1,47;-65,5;-0,703
1,496;-66;-0,704
1,511;-66;-0,704
1,525;-67;-0,705
1,538;-68;-0,706
1,552;-68;-0,706
1,567;-68,5;-0,707
1,581;-68,5;-0,708
1,593;-69;-0,709
1,609;-69;-0,709
1,622;-70;-0,71
1,634;-70;-0,711
1,65;-70,5;-0,712
1,669;-71;-0,712
1,683;-71;-0,713
1,698;-71,5;-0,714
1,713;-71,5;-0,715
1,726;-72,5;-0,715
1,739;-72,5;-0,716
1,752;-73;-0,716
1,763;-73;-0,717
1,778;-73,5;-0,718
1,792;-73,5;-0,718
1,805;-74;-0,719
1,817;-74;-0,72
1,831;-75,5;-0,72
1,844;-76;-0,721
1,86;-76;-0,722
1,877;-76,5;-0,723
1,892;-76,5;-0,724
1,906;-77;-0,724
1,918;-77;-0,725
1,933;-78;-0,726
1,945;-78;-0,726
1,957;-78,5;-0,727
1,972;-78,5;-0,727
1,984;-79,5;-0,728
2;-80;-0,729
2,024;-81;-0,73
2,046;-81;-0,731
2,061;-81,5;-0,732
2,074;-81,5;-0,732
2,087;-82;-0,733
2,101;-82;-0,734
2,12;-83;-0,735
2,142;-84;-0,736
2,158;-84,5;-0,737
2,171;-84,5;-0,737
