Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-25	0,354
0	-25	0,353
0,015	-25	0,352
0,032	-25	0,351
0,05	-25	0,35
0,066	-25	0,349
0,082	-25	0,349
0,095	-25	0,347
0,125	-25	0,346
0,146	-25	0,345
0,173	-25	0,344
0,204	-25	0,342
0,225	-25,5	0,342
0,239	-25,5	0,341
0,252	-25	0,34
0,265	-25	0,34
0,286	-25	0,338
0,308	-25,5	0,337
0,341	-25,5	0,336
0,356	-25,5	0,335
0,368	-25,5	0,334
0,391	-25,5	0,333
0,403	-25,5	0,333
0,415	-25,5	0,332
0,428	-25,5	0,332
0,441	-25,5	0,331
0,454	-26	0,33
0,467	-26	0,33
0,479	-26	0,329
0,494	-26	0,328
0,509	-26	0,327
0,522	-26	0,327
0,534	-26,5	0,326
0,547	-26,5	0,326
0,559	-26,5	0,325
0,574	-27	0,324
0,595	-27	0,323
0,609	-27	0,322
0,633	-27	0,321
0,646	-27	0,32
0,658	-27,5	0,319
0,687	-27,5	0,318
0,704	-27,5	0,318
0,733	-28	0,316
0,747	-28	0,315
0,76	-28	0,315
0,775	-28	0,314
0,803	-28,5	0,312
0,827	-28,5	0,311
0,84	-29	0,31
0,88	-29	0,308
0,913	-29	0,307
0,938	-29,5	0,304
0,98	-30	0,304
1,006	-30	0,302
1,029	-31	0,301
1,061	-31	0,3
1,077	-31	0,299
1,094	-31,5	0,298
1,11	-31,5	0,297
1,126	-31,5	0,296
1,14	-32	0,295
1,174	-32	0,294
1,19	-32,5	0,293
1,206	-32,5	0,292
1,23	-32,5	0,291
1,255	-33,5	0,289
1,285	-33,5	0,288
1,303	-34	0,287
1,32	-34	0,287
1,336	-34	0,286
1,354	-34,5	0,285
1,373	-35	0,284
1,391	-35	0,283
1,416	-35,5	0,281
1,447	-36	0,28
1,464	-36	0,279
1,492	-36,5	0,278
1,51	-36,5	0,276
1,541	-37	0,275
1,566	-37,5	0,274
1,582	-38	0,273
1,606	-38	0,272
1,623	-38	0,272
1,648	-38,5	0,27
1,679	-39,5	0,269
1,695	-40	0,267
1,727	-40	0,266
1,744	-40	0,265
1,762	-41	0,264
1,779	-41	0,264
1,791	-41,5	0,263
1,809	-42	0,262
1,824	-42	0,262
1,837	-42	0,261
1,849	-42	0,26
1,863	-43	0,26
1,878	-43	0,258
1,919	-43,5	0,256
1,941	-44	0,256
1,956	-45	0,254
1,981	-45	0,254
2,003	-45,5	0,252
2,036	-46	0,251
2,052	-46	0,25
2,071	-46,5	0,248
2,102	-47	0,247
2,126	-47,5	0,247
2,15	-48	0,245
2,167	-49	0,244
2,191	-49	0,242
2,22	-49,5	0,241
2,247	-50	0,24
2,263	-51	0,239
2,288	-51	0,238
2,31	-51,5	0,237
2,327	-51,5	0,236
2,352	-52	0,235
2,375	-53	0,234
2,409	-53,5	0,232
2,426	-54	0,231
2,449	-54,5	0,23
2,465	-55,5	0,229
2,488	-55,5	0,228
2,519	-55,5	0,227
2,534	-56	0,226
2,56	-56,5	0,225
2,577	-57,5	0,224
2,595	-57,5	0,222
2,629	-58,5	0,221
2,645	-59	0,22
2,672	-59	0,219
2,688	-59,5	0,218
2,701	-60	0,217
2,731	-60,5	0,216
2,763	-61	0,214
2,785	-61,5	0,214
2,801	-62,5	0,212
2,822	-62,5	0,211
2,846	-63	0,21
2,863	-63,5	0,209
2,897	-64	0,208
2,91	-64,5	0,207
2,937	-65,5	0,206
2,963	-65,5	0,204
2,979	-65,5	0,204
3,002	-67	0,202
3,027	-67	0,201
3,045	-67,5	0,2
3,063	-68	0,2
3,082	-68	0,199
3,098	-69	0,198
3,118	-69,5	0,197
3,137	-69,5	0,196
3,15	-70	0,196
3,165	-70	0,195
3,177	-70,5	0,194
3,189	-70,5	0,194
3,201	-71,5	0,193
3,213	-71,5	0,192
3,226	-72	0,192
3,238	-72	0,19
3,266	-72,5	0,19
3,28	-73	0,189
3,293	-74	0,188
3,306	-74	0,188
3,322	-74,5	0,186
3,359	-75	0,185
3,375	-75,5	0,184
3,402	-76,5	0,183
3,418	-76,5	0,182
3,44	-77	0,181
3,453	-77,5	0,179
3,484	-77,5	0,179
3,512	-79	0,177
3,537	-79,5	0,176
3,554	-80	0,174
3,585	-80,5	0,174
3,604	-81,5	0,173
3,62	-81,5	0,171
3,648	-82	0,17
3,666	-82,5	0,169
3,695	-84	0,168
3,721	-84	0,167
3,745	-84,5	0,166
3,759	-84,5	0,164
3,79	-85,5	0,164
3,808	-86,5	0,163
3,825	-87	0,161
3,85	-87	0,16
3,875	-87,5	0,158
3,907	-89	0,157
3,934	-89,5	0,156
3,965	-90	0,154
3,991	-90,5	0,153
4,006	-90,5	0,152
4,031	-91,5	0,151
4,061	-92	0,15
4,074	-92,5	0,149
4,087	-92,5	0,148
4,11	-93	0,147
4,128	-94	0,146
4,144	-94,5	0,146
4,168	-95	0,144
4,191	-95,5	0,143
4,212	-95,5	0,142
4,234	-97	0,142
4,248	-97	0,14
4,27	-98	0,139
4,296	-98,5	0,138
4,326	-99	0,136
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-25	0,354
0	-25	0,353
0,015	-25	0,352
0,032	-25	0,351
0,05	-25	0,35
0,066	-25	0,349
0,082	-25	0,349
0,095	-25	0,347
0,125	-25	0,346
0,146	-25	0,345
0,173	-25	0,344
0,204	-25	0,342
0,225	-25,5	0,342
0,239	-25,5	0,341
0,252	-25	0,34
0,265	-25	0,34
0,286	-25	0,338
0,308	-25,5	0,337
0,341	-25,5	0,336
0,356	-25,5	0,335
0,368	-25,5	0,334
0,391	-25,5	0,333
0,403	-25,5	0,333
0,415	-25,5	0,332
0,428	-25,5	0,332
0,441	-25,5	0,331
0,454	-26	0,33
0,467	-26	0,33
0,479	-26	0,329
0,494	-26	0,328
0,509	-26	0,327
0,522	-26	0,327
0,534	-26,5	0,326
0,547	-26,5	0,326
0,559	-26,5	0,325
0,574	-27	0,324
0,595	-27	0,323
0,609	-27	0,322
0,633	-27	0,321
0,646	-27	0,32
0,658	-27,5	0,319
0,687	-27,5	0,318
0,704	-27,5	0,318
0,733	-28	0,316
0,747	-28	0,315
0,76	-28	0,315
0,775	-28	0,314
0,803	-28,5	0,312
0,827	-28,5	0,311
0,84	-29	0,31
0,88	-29	0,308
0,913	-29	0,307
0,938	-29,5	0,304
0,98	-30	0,304
1,006	-30	0,302
1,029	-31	0,301
1,061	-31	0,3
1,077	-31	0,299
1,094	-31,5	0,298
1,11	-31,5	0,297
1,126	-31,5	0,296
1,14	-32	0,295
1,174	-32	0,294
1,19	-32,5	0,293
1,206	-32,5	0,292
1,23	-32,5	0,291
1,255	-33,5	0,289
1,285	-33,5	0,288
1,303	-34	0,287
1,32	-34	0,287
1,336	-34	0,286
1,354	-34,5	0,285
1,373	-35	0,284
1,391	-35	0,283
1,416	-35,5	0,281
1,447	-36	0,28
1,464	-36	0,279
1,492	-36,5	0,278
1,51	-36,5	0,276
1,541	-37	0,275
1,566	-37,5	0,274
1,582	-38	0,273
1,606	-38	0,272
1,623	-38	0,272
1,648	-38,5	0,27
1,679	-39,5	0,269
1,695	-40	0,267
1,727	-40	0,266
1,744	-40	0,265
1,762	-41	0,264
1,779	-41	0,264
1,791	-41,5	0,263
1,809	-42	0,262
1,824	-42	0,262
1,837	-42	0,261
1,849	-42	0,26
1,863	-43	0,26
1,878	-43	0,258
1,919	-43,5	0,256
1,941	-44	0,256
1,956	-45	0,254
1,981	-45	0,254
2,003	-45,5	0,252
2,036	-46	0,251
2,052	-46	0,25
2,071	-46,5	0,248
2,102	-47	0,247
2,126	-47,5	0,247
2,15	-48	0,245
2,167	-49	0,244
2,191	-49	0,242
2,22	-49,5	0,241
2,247	-50	0,24
2,263	-51	0,239
2,288	-51	0,238
2,31	-51,5	0,237
2,327	-51,5	0,236
2,352	-52	0,235
2,375	-53	0,234
2,409	-53,5	0,232
2,426	-54	0,231
2,449	-54,5	0,23
2,465	-55,5	0,229
2,488	-55,5	0,228
2,519	-55,5	0,227
2,534	-56	0,226
2,56	-56,5	0,225
2,577	-57,5	0,224
2,595	-57,5	0,222
2,629	-58,5	0,221
2,645	-59	0,22
2,672	-59	0,219
2,688	-59,5	0,218
2,701	-60	0,217
2,731	-60,5	0,216
2,763	-61	0,214
2,785	-61,5	0,214
2,801	-62,5	0,212
2,822	-62,5	0,211
2,846	-63	0,21
2,863	-63,5	0,209
2,897	-64	0,208
2,91	-64,5	0,207
2,937	-65,5	0,206
2,963	-65,5	0,204
2,979	-65,5	0,204
3,002	-67	0,202
3,027	-67	0,201
3,045	-67,5	0,2
3,063	-68	0,2
3,082	-68	0,199
3,098	-69	0,198
3,118	-69,5	0,197
3,137	-69,5	0,196
3,15	-70	0,196
3,165	-70	0,195
3,177	-70,5	0,194
3,189	-70,5	0,194
3,201	-71,5	0,193
3,213	-71,5	0,192
3,226	-72	0,192
3,238	-72	0,19
3,266	-72,5	0,19
3,28	-73	0,189
3,293	-74	0,188
3,306	-74	0,188
3,322	-74,5	0,186
3,359	-75	0,185
3,375	-75,5	0,184
3,402	-76,5	0,183
3,418	-76,5	0,182
3,44	-77	0,181
3,453	-77,5	0,179
3,484	-77,5	0,179
3,512	-79	0,177
3,537	-79,5	0,176
3,554	-80	0,174
3,585	-80,5	0,174
3,604	-81,5	0,173
3,62	-81,5	0,171
3,648	-82	0,17
3,666	-82,5	0,169
3,695	-84	0,168
3,721	-84	0,167
3,745	-84,5	0,166
3,759	-84,5	0,164
3,79	-85,5	0,164
3,808	-86,5	0,163
3,825	-87	0,161
3,85	-87	0,16
3,875	-87,5	0,158
3,907	-89	0,157
3,934	-89,5	0,156
3,965	-90	0,154
3,991	-90,5	0,153
4,006	-90,5	0,152
4,031	-91,5	0,151
4,061	-92	0,15
4,074	-92,5	0,149
4,087	-92,5	0,148
4,11	-93	0,147
4,128	-94	0,146
4,144	-94,5	0,146
4,168	-95	0,144
4,191	-95,5	0,143
4,212	-95,5	0,142
4,234	-97	0,142
4,248	-97	0,14
4,27	-98	0,139
4,296	-98,5	0,138
4,326	-99	0,136
